baseline_ns,cam5,cam6
10419640991431,10419640991431,10419649552285,10419649357623
10419640991431,10419640991431,10419649552285,10419649357623
10419649357623,10419649552285,10419649357623
10419649357623,10419649552285,10419649357623
10419674717054,10419674717054,10419680177124
10419674717054,10419674717054,10419680177124
10419674717054,10419674717054,10419679860535,10419680177124
10419674717054,10419674717054,10419679860535,10419680177124
10419674717054,10419674717054,10419679860535,10419680177124
10419679860535,10419679860535,10419680177124
10419679860535,10419679860535,10419680177124
10419707748062,10419707748062,10419711851103
10419707748062,10419707748062,10419711851103
10419707748062,10419707748062,10419711851103,10419717776723
10419707748062,10419707748062,10419711851103,10419717776723
10419707748062,10419707748062,10419711851103,10419717776723
10419711851103,10419711851103,10419717776723
10419711851103,10419711851103,10419717776723
10419741159968,10419741159968,10419753728543
10419741159968,10419741159968,10419753728543
10419807799356,10419807799356,10419812285522
10419807799356,10419807799356,10419812285522
10419841178588,10419841178588,10419847030299
10419841178588,10419841178588,10419847030299
10419841178588,10419841178588,10419847030299,10419847938608
10419841178588,10419841178588,10419847030299,10419847938608
10419841178588,10419841178588,10419847030299,10419847938608
10419847030299,10419847030299,10419847938608
10419847030299,10419847030299,10419847938608
10419874430671,10419874430671,10419886668855
10419874430671,10419874430671,10419886668855
10419909273632,10419909273632,10419914644774
10419909273632,10419909273632,10419914644774
10419909273632,10419909273632,10419914398925,10419914644774
10419909273632,10419909273632,10419914398925,10419914644774
10419909273632,10419909273632,10419914398925,10419914644774
10419914398925,10419914398925,10419914644774
10419914398925,10419914398925,10419914644774
10419941072662,10419941072662,10419949829545
10419941072662,10419941072662,10419949829545
10419941072662,10419941072662,10419949829545
10419941072662,10419941072662,10419949829545
10419975129436,10419975129436,10419980071133
10419975129436,10419975129436,10419980071133
10419975129436,10419975129436,10419980114144,10419980071133
10419975129436,10419975129436,10419980114144,10419980071133
10419975129436,10419975129436,10419980114144,10419980071133
10419980071133,10419980114144,10419980071133
10419980071133,10419980114144,10419980071133
10420007473325,10420007473325,10420013515427
10420007473325,10420007473325,10420013515427
10420007473325,10420007473325,10420015858643,10420013515427
10420007473325,10420007473325,10420015858643,10420013515427
10420007473325,10420007473325,10420015858643,10420013515427
10420013515427,10420015858643,10420013515427
10420013515427,10420015858643,10420013515427
10420040754328,10420040754328,10420045451751
10420040754328,10420040754328,10420045451751
10420075187602,10420075187602,10420079229003
10420075187602,10420075187602,10420079229003
10420108267639,10420108267639,10420114004506
10420108267639,10420108267639,10420114004506
10420141481692,10420141481692,10420146339359
10420141481692,10420141481692,10420146339359
10420141481692,10420141481692,10420146339359,10420146372799
10420141481692,10420141481692,10420146339359,10420146372799
10420141481692,10420141481692,10420146339359,10420146372799
10420146339359,10420146339359,10420146372799
10420146339359,10420146339359,10420146372799
10420174784848,10420174784848,10420181271583
10420174784848,10420174784848,10420181271583
10420174784848,10420174784848,10420181271583,10420180287966
10420174784848,10420174784848,10420181271583,10420180287966
10420174784848,10420174784848,10420181271583,10420180287966
10420180287966,10420181271583,10420180287966
10420180287966,10420181271583,10420180287966
10420207583544,10420207583544,10420211911904
10420207583544,10420207583544,10420211911904
10420207583544,10420207583544,10420211911904,10420213400722
